Id,Name,Age
Q23,George Washington,23
Q42,Douglas Adams,21
Q91,Abraham Lincoln,19
Q254,Wolfgang Amadeus Mozart,18
Q255,Ludwig van Beethoven,32
Q260,Jean-François Champollion,33
Q272,Paul Morand,27
Q296,Claude Monet,35
Q297,Diego Velázquez,27
Q301,El Greco,37
Q303,Elvis Presley,34
Q307,Galileo Galilei,15
Q335,Patricio Aylwin,26
Q346,Louis IX of France,31
Q352,Adolf Hitler,29
Q353,Blanche of Castile,40
Q354,Piet Kraak,27
Q368,Augusto Pinochet,20
Q377,Yanka Kupala,20
Q379,František Plánička,33
Q407,Linda Lovelace,22
Q409,Bob Marley,29
Q410,Carl Sagan,39
Q440,Salvador Allende,18
Q448,Denis Diderot,34
Q449,Georges Brassens,29
Q464,Philipp Ludwig von Seidel,33
Q475,Eduardo Frei Montalva,34
Q493,Arthur Rimbaud,19
Q498,"Ulrich Frédéric Woldemar, Comte de Lowendal",40
Q501,Charles Baudelaire,32
Q502,Stendhal,29
Q504,Émile Zola,28
Q512,Vladimir Vysotsky,36
Q517,Napoleon,27
Q529,Louis Pasteur,14
Q535,Victor Hugo,33
Q539,Giuseppe Garibaldi,19
Q559,Claude Bourgelat,31
Q562,Pierre Poivre,26
Q576,Jorge Alessandri,32
Q579,Carlos Ibáñez del Campo,14
Q590,Luís de Camões,39
Q619,Nicolaus Copernicus,14
Q632,Jean Moulin,21
Q635,Cleopatra,33
Q651,Friedrich Theodor Vischer,16
Q675,André-Marie Ampère,24
Q680,Alessandro Volta,33
Q687,Molière,25
Q692,William Shakespeare,24
Q720,Genghis Khan,37
Q742,Jean Racine,37
Q747,Pierre Corneille,37
Q755,Paul Verlaine,36
Q762,Leonardo da Vinci,31
Q765,Dario Fo,27
Q767,Stéphane Mallarmé,31
Q815,Gabriel Gonzáles Videla,34
Q820,Juan Antonio Rios,22
Q835,Mikhail Bulgakov,32
Q838,Andrei Rublev,27
Q845,Pedro Aguirre Cerda,20
Q848,Arturo Alessandri,16
Q849,François Villon,19
Q853,Andrei Tarkovsky,21
Q855,Joseph Stalin,19
Q857,Juan Luis Sanfuentes,32
Q859,Plato,29
Q862,Joseph Brodsky,30
Q868,Aristotle,17
Q882,Charlie Chaplin,36
Q885,Józef Piłsudski,30
Q892,J. R. R. Tolkien,28
Q905,Franz Kafka,22
Q909,Jorge Luis Borges,40
Q913,Socrates,30
Q920,J. Bernlef,25
Q926,Roald Amundsen,23
Q927,Harry Mulisch,20
Q930,Konstantin Melnikov,25
Q935,Isaac Newton,39
Q937,Albert Einstein,27
Q939,Pedro I of Brazil,30
Q949,John Bardeen,30
Q984,Miles Franklin,14
Q989,John Paul II,29
Q991,Fyodor Dostoyevsky,32
Q997,Andrei Sakharov,19
Q1001,Mahatma Gandhi,33
Q1031,France Prešeren,34
Q1035,Charles Darwin,21
Q1043,Carl Linnaeus,24
Q1051,Ivan Regen,39
Q1056,Italo Balbo,15
Q1064,Alessandro Manzoni,36
Q1067,Dante Alighieri,20
Q1145,Jean-Philippe Rameau,40
Q1149,Indira Gandhi,29
Q1151,Hector Berlioz,36
Q1178,Maurice Ravel,33
Q1192,Jean-Baptiste Lully,21
Q1203,John Lennon,23
Q1217,Hubert Salentin,31
Q1224,Carlo Azeglio Ciampi,39
Q1228,Oscar Luigi Scalfaro,15
Q1230,Francesco Cossiga,25
Q1233,Sandro Pertini,33
Q1235,Giovanni Leone,30
Q1238,Giuseppe Saragat,24
Q1240,Antonio Segni,39
Q1241,Giovanni Gronchi,40
Q1242,Luigi Einaudi,25
Q1245,Enrico de Nicola,34
Q1254,Kofi Annan,17
Q1257,Boutros Boutros-Ghali,18
Q1260,Kurt Waldheim,19
Q1267,Dag Hammarskjöld,20
Q1268,Frédéric Chopin,29
Q1271,Trygve Lie,36
Q1275,Gladwyn Jebb,38
Q1276,Leonard Cohen,36
Q1290,Blaise Pascal,40
Q1294,Ramón Barros Luco,34
Q1298,Pedro Montt,17
Q1300,Germán Riesco,19
Q1316,Saddam Hussein,40
Q1317,Osama bin Laden,27
Q1318,Aníbal Zañartu,29
Q1319,Federico Errázuriz Echaurren,15
Q1320,Jorge Montt,38
Q1322,José Manuel Balmaceda,21
Q1323,Domingo Santa María,14
Q1324,Aníbal Pinto,33
Q1325,Friedrich Hayek,24
Q1326,Federico Errázuriz Zañartu,14
Q1327,José Joaquín Pérez,32
Q1328,Manuel Montt,27
Q1329,Manuel Bulnes,36
Q1330,José Joaquín Prieto,23
Q1331,Manuel Blanco Encalada,38
Q1332,Ramón Freire,29
Q1333,Francisco Antonio Pinto,20
Q1339,Johann Sebastian Bach,18
Q1340,Antonio Vivaldi,29
Q1381,Dave Arneson,30
Q1394,Vladimir Lenin,18
Q1399,Niccolò Machiavelli,29
Q1401,Petrarch,33
Q1402,Giovanni Boccaccio,21
Q1403,Luigi Pirandello,40
Q1463,Ferdinand Marcos,27
Q1470,M. C. Escher,19
Q1480,Corazon Aquino,20
Q1488,Robert Brasillach,33
Q1496,Ferdinand Magellan,40
Q1500,José Rizal,26
Q1503,Manuel L. Quezon,19
Q1511,Richard Wagner,33
Q1512,Robert Louis Stevenson,17
Q1514,Janis Joplin,38
Q1523,Ramesses II,26
Q1528,Ramesses III,33
Q1532,Ramesses IV,28
Q1544,Tony Garnier,38
Q1585,Georg Simon Ohm,15
Q1589,Luigi Galvani,18
Q1615,Neil Armstrong,15
Q1618,Charles Lindbergh,20
Q1625,Sigfrid Edström,40
Q1628,"David Cecil, 6th Marquess of Exeter",29
Q1631,Édith Piaf,29
Q1634,Adriaan Paulen,39
Q1638,Primo Nebiolo,21
Q1646,Françoise Sagan,18
Q1666,Jacques Brel,39
Q1698,Serge Gainsbourg,37
Q1768,Ella Fitzgerald,38
Q1775,Brownie Mary,17
Q1779,Louis Armstrong,26
Q1785,Charles Aznavour,35
Q1786,Jan I Carondelet,35
Q1788,Claude I Carondelet,21
Q1791,Jan II Carondelet,18
Q1798,Ferry Carondelet,26
Q1802,Daniel Balavoine,27
Q1804,Barbara,25
Q1868,Paul Otlet,37
Q2001,Stanley Kubrick,31
Q2022,Cesare Pavese,19
Q2038,François Mitterrand,22
Q2040,Giuseppe Farina,17
Q2042,Charles de Gaulle,25
Q2069,Juan Manuel Fangio,35
Q2086,Alberto Ascari,20
Q2104,Mike Hawthorn,29
Q2105,Jacques Chirac,18
Q2116,Hans Schmidt,22
Q2124,Valéry Giscard d'Estaing,34
Q2125,Jack Brabham,38
Q2185,Georges Pompidou,21
Q2190,Coluche,31
Q2196,Pierre Desproges,33
Q2274,Chet Baker,17
Q2291,Totò,23
Q2492,Konrad Adenauer,31
Q2496,Ludwig Erhard,22
Q2512,Kurt Georg Kiesinger,33
Q2514,Willy Brandt,20
Q2516,Helmut Schmidt,27
Q2518,Helmut Kohl,18
Q2551,Johannes Rau,21
Q2563,Roman Herzog,35
Q2566,Isaac Brock,24
Q2567,Richard von Weizsäcker,25
Q2569,Karl Carstens,40
Q2571,Walter Scheel,20
Q2573,Gustav Heinemann,35
Q2582,Heinrich Lübke,32
Q2594,Theodor Heuss,37
Q2601,Manfred Gerlach,27
Q2604,Pius XII,39
Q2607,Erich Honecker,39
Q2610,Willi Stoph,17
Q2628,Walter Ulbricht,24
Q2643,George Harrison,30
Q2646,Friedrich Ebert,16
Q2655,John Franklin,38
Q2667,Paul von Hindenburg,21
Q2677,Wilhelm II,26
Q2737,Louis de Funès,31
Q2750,Bourvil,18
Q2754,Jaroslav Hašek,39
Q2757,Lech Kaczyński,21
Q2767,Daniel Morgan,17
Q2831,Michael Jackson,35
Q2908,Antoine de Saint-Exupéry,15
Q2972,"Sir John Barrow, 1st Baronet",25
Q2998,Amy Johnson,36
Q3034,Willoughby Newton,15
Q3044,Charlemagne,35
Q3048,Charles Maurras,15
Q3095,Livia Ana Tătaru,37
Q3099,Francis van Bossuit,20
Q3101,Patrick Ricard,39
Q3102,Francis Coventry,26
Q3112,Phil Hill,15
Q3128,Graham Hill,39
Q3137,Jim Clark,16
Q3153,John Surtees,15
Q3165,Conrad Wahn,15
Q3166,Denny Hulme,20
Q3197,Friedrich Wilhelm Grund,23
Q3205,William Terry,39
Q3234,Jochen Rindt,15
Q3239,James K. Gibson,17
Q3247,Allen Sheppard,26
Q3251,Elisha E. Meredith,24
Q3253,Henry P. Alexander,22
Q3260,Hubert Clifford,34
Q3275,David Cairns,37
Q3288,John Gregg,31
Q3300,Ernst Tiburzy,20
Q3301,Charles Martel,22
Q3321,Simon Lohet,38
Q3324,Rufus R. Jones,19
Q3335,George Orwell,17
Q3340,Ptolemy IX Lathyros,14
Q3345,Ptolemy X Alexander I,18
Q3350,Ptolemy VIII Physcon,28
Q3355,Amelia Earhart,32
Q3356,Antiochus IV Epiphanes,16
Q3362,Seleucus IV Philopator,35
Q3365,Antiochus III the Great,38
Q3371,Seleucus III Ceraunus,27
Q3373,Seleucus II Callinicus,18
Q3547,Franciszek Karpiński,35
Q3648,Aleksandr Kanaki,30
Q3794,Laurent Dauthuille,26
Q3816,George Sand,33
Q3824,Etienne-Barthélémy Garnier,32
Q3867,Piet Roozenburg,32
Q3925,Grace Kelly,36
Q3993,Jacqueline Cochran,28
Q4009,Ramesses IX,26
Q4012,Paul von Rennenkampf,38
Q4014,George Zorab,27
Q4026,Ramesses X,18
Q4030,Duke Ellington,29
Q4061,Woody Guthrie,19
Q4064,Ramesses V,36
Q4128,Louis Aragon,32
Q4137,Elsa Triolet,33
Q4145,Patrice O'Neal,38
Q4214,Adam de la Halle,33
Q4227,James Coburn,34
Q4247,Rodolphe Töpffer,33
Q4267,Adémar de Chabannes,16
Q4289,Guibert of Nogent,24
Q4291,Ante Bilobrk,16
Q4295,Peter Abelard,30
Q4302,Chrétien de Troyes,14
Q4313,Alain de Lille,40
Q4323,Albert of Aix,30
Q4328,Alberich of Reims,35
Q4340,Andreas Capellanus,29
Q4344,Arnaut Daniel,36
Q4381,Carlos Pellicer,16
Q4441,Emily Dickinson,19
Q4443,Pius VIII,38
Q4448,Benedict XV,33
Q4452,Thomas of Metsoph,20
Q4487,Federico Gamboa,38
Q4498,Beatritz de Dia,15
Q4510,Bertran de Born,21
Q4517,Bernard Katz,20
Q4538,Jonathan Winters,32
Q4573,Sean Connery,15
Q4583,Anne Frank,16
Q4593,Rajiv Gandhi,39
Q4604,Confucius,22
Q4605,Sarah Bernhardt,24
Q4612,Marlene Dietrich,27
