Month,Passengers
Jan-11,112
Feb-11,118
Mar-11,132
Apr-11,129
May-11,121
Jun-11,135
Jul-11,148
Aug-11,148
Sep-11,136
Oct-11,119
Nov-11,104
Dec-11,118
Jan-12,115
Feb-12,126
Mar-12,141
Apr-12,135
May-12,125
Jun-12,149
Jul-12,170
Aug-12,170
Sep-12,158
Oct-12,133
Nov-12,114
Dec-12,140
Jan-13,145
Feb-13,150
Mar-13,178
Apr-13,163
May-13,172
Jun-13,178
Jul-13,199
Aug-13,199
Sep-13,184
Oct-13,162
Nov-13,146
Dec-13,166
Jan-14,171
Feb-14,180
Mar-14,193
Apr-14,181
May-14,183
Jun-14,218
Jul-14,230
Aug-14,242
Sep-14,209
Oct-14,191
Nov-14,172
Dec-14,194
Jan-15,196
Feb-15,196
Mar-15,236
Apr-15,235
May-15,229
Jun-15,243
Jul-15,264
Aug-15,272
Sep-15,237
Oct-15,211
Nov-15,180
Dec-15,201
Jan-16,204
Feb-16,188
Mar-16,235
Apr-16,227
May-16,234
Jun-16,264
Jul-16,302
Aug-16,293
Sep-16,259
Oct-16,229
Nov-16,203
Dec-16,229
Jan-17,242
Feb-17,233
Mar-17,267
Apr-17,269
May-17,270
Jun-17,315
Jul-17,364
Aug-17,347
Sep-17,312
Oct-17,274
Nov-17,237
Dec-17,278
Jan-18,284
Feb-18,277
Mar-18,317
Apr-18,313
May-18,318
Jun-18,374
Jul-18,413
Aug-18,405
Sep-18,355
Oct-18,306
Nov-18,271
Dec-18,306
Jan-19,315
Feb-19,301
Mar-19,356
Apr-19,348
May-19,355
Jun-19,422
Jul-19,465
Aug-19,467
Sep-19,404
Oct-19,347
Nov-19,305
Dec-19,336
Jan-20,340
Feb-20,318
Mar-20,362
Apr-20,348
May-20,363
Jun-20,435
Jul-20,491
Aug-20,505
Sep-20,404
Oct-20,359
Nov-20,310
Dec-20,337
Jan-21,360
Feb-21,342
Mar-21,406
Apr-21,396
May-21,420
Jun-21,472
Jul-21,548
Aug-21,559
Sep-21,463
Oct-21,407
Nov-21,362
Dec-21,405
Jan-22,417
Feb-22,391
Mar-22,419
Apr-22,461
May-22,472
Jun-22,535
Jul-22,622
Aug-22,606
Sep-22,508
Oct-22,461
Nov-22,390
Dec-22,432
